id,articleClass,publishDate,title,intro,articleSource,pictureURL
1,4,2022-01-06,林鼎實業32年深耕代表作 21層千坪花園泳池御邸,台中不動產買氣熱絡，各區紛紛傳出銷售捷報，在地價上漲、缺工、缺料等大環境因素影響下，建案開價不斷創新高，自住剛性需求卻仍勇於出手，趁勢置產購屋。,海鉅開發股份有限公司,images/總覽文章圖片/1.JPEG
2,4,2022-01-04,對抗通膨時代 新竹北大路富人聚落 金店面企業主最愛,「興傳」位居新竹市政特區，同時也是傳統與現代交織的地區，周邊銀行、醫院、各式商家林立，其中大遠百商圈更是商機無限，吸引多家國內外知名品牌包含鼎泰豐,達程廣告股份有限公司,images/總覽文章圖片/2.JPEG
3,4,2021-12-17,台中七期房市交易火熱 大陸建設新案「豐蒔」蒔尚發表,面對全球通膨，雙北房價走高，台中七期成為置產首選，區域內具獨特規劃，更有不少接軌國際的豪邸作品，像是大陸建設推出的中坪數豪邸案「豐蒔」，吸引中部高資產族也讓北部行家願意跨區出手。,海心國際股份有限公司,images/總覽文章圖片/3.JPEG
4,5,2022-01-10,全國新建餘屋住宅數 創近2年單季次低紀錄,內政部近日公布全國新建餘屋最新統計結果，統計指出，去（2021）年第2季全國新建餘屋住宅數計有7萬54宅，較上季減少3,631宅，單季減幅達4.93％，為自2020年以來的單季次低紀錄,【住展房屋網/綜合報導】,images/總覽文章圖片/4.JPEG
5,5,2022-01-07,市場需求強勁 新北房價指數創新高,新北市地政局近日公告最新一期住宅價格指數，去（2021）年第3季，全市與大樓價格指數均較同年第2季微幅上漲，公寓價格指數雖在去年8月及9月期間微幅下跌，但同期的年成長率仍有5.35％及1.81％,【住展房屋網/綜合報導】,images/總覽文章圖片/5.JPEG
6,5,2022-01-04,最新住宅價格指數出爐 台南漲幅冠六都,內政部近日發布去（2021）年第3季全國住宅價格指數及房價負擔能力統計結果，2項指標與上季去年同期相較，均呈現上漲，其中全國住宅價格指數為114.83，季增2.15％，年增7.43％,【住展房屋網/綜合報導】,images/總覽文章圖片/6.JPEG
7,6,2022-01-05,同行遇寒流殺成紅海 它連13年穩坐國產最貴鮮乳,不是什麼錢都要賺，吉蒸靠「節制」做大生意 同行遇寒流殺成紅海 它連13年穩坐國產最貴鮮乳,商業周刊,images/總覽文章圖片/7.JPEG
8,6,2022-01-14,這支五萬元隨身碟 竟能通行半導體廠禁區,它進攻3千億麻煩生意，客戶橫跨製藥、車廠、電廠 這支五萬元隨身碟 竟能通行半導體廠禁區,商業週刊,images/總覽文章圖片/8.JPEG
9,6,2022-01-13,台中新門戶 水湳轉運中心工程2／8開標,台中市交通局近日公告，將於2月8日辦理位於台中市水湳經貿園區的「水湳轉運中心」新建工程標售作業，該案於去（2021）年12月23日起對外公告招標,【住展房屋網/綜合報導】,images/總覽文章圖片/9.JPEG
10,1,2021-05-11,新店央北重劃區，關鍵優勢是「這些」？,近期只要講到重劃區，是少不了「央北」這個討論熱區的。央北重劃區位在新店左岸，旁邊就是新店溪水岸，和河濱公園。,編輯部,images/總覽文章圖片/10.JPEG
